,trade_date,open,high,close,low,vol,change
1745,20130506,2502.978,2533.855,2525.983,2500.455,60418780.0,33.071
1744,20130507,2519.364,2539.298,2529.938,2507.756,54490643.0,3.955
1743,20130508,2542.266,2562.007,2542.798,2531.251,59554294.0,12.86
1742,20130509,2542.374,2543.305,2527.794,2507.792,60240145.0,-15.004
1741,20130510,2519.517,2546.975,2540.836,2515.158,48816728.0,13.042
1740,20130513,2542.412,2547.602,2530.768,2516.728,54092147.0,-10.068
1739,20130514,2525.998,2526.145,2493.338,2479.872,54880064.0,-37.43
1738,20130515,2493.968,2507.43,2506.925,2491.927,44189660.0,13.587
1737,20130516,2501.117,2553.058,2552.709,2487.763,70796182.0,45.784
1736,20130517,2550.452,2598.706,2592.048,2547.776,81850801.0,39.339
1735,20130520,2597.151,2627.616,2609.607,2590.053,86337803.0,17.559
1734,20130521,2607.393,2617.4,2614.853,2594.249,71505994.0,5.246
1733,20130522,2613.411,2630.068,2618.034,2603.75,74191817.0,3.181
1732,20130523,2604.93,2624.076,2582.849,2579.347,84825370.0,-35.185
1731,20130524,2591.419,2608.35,2597.228,2572.884,60739669.0,14.379
1730,20130527,2593.522,2611.972,2599.587,2589.739,64195080.0,2.359
1729,20130528,2600.632,2644.359,2644.359,2585.901,84196112.0,44.772
1728,20130529,2648.927,2661.229,2642.561,2640.881,79277709.0,-1.798
1727,20130530,2633.955,2647.443,2634.323,2623.581,70146368.0,-8.238
1726,20130531,2638.71,2645.565,2606.426,2604.746,62528533.0,-27.897
1725,20130603,2605.969,2625.936,2602.623,2596.051,59774468.0,-3.803
1724,20130604,2600.499,2600.499,2565.666,2556.056,66315750.0,-36.957
1723,20130605,2565.329,2570.027,2560.539,2545.19,45637193.0,-5.127
1722,20130606,2552.817,2557.678,2527.845,2525.306,52496529.0,-32.694
1721,20130607,2526.913,2538.891,2484.16,2475.687,61030894.0,-43.685
1720,20130613,2448.717,2448.717,2399.937,2375.204,69730066.0,-84.223
1719,20130614,2404.423,2420.356,2416.771,2396.487,55964534.0,16.834
1718,20130617,2422.762,2427.532,2403.839,2394.385,50395711.0,-12.932
1717,20130618,2413.088,2424.202,2418.745,2393.321,48630379.0,14.906
1716,20130619,2408.28,2408.28,2400.765,2366.346,54346260.0,-17.98
1715,20130620,2386.104,2386.104,2321.466,2320.226,55201020.0,-79.299
1714,20130621,2283.151,2332.842,2317.394,2269.565,58705798.0,-4.072
1713,20130624,2308.069,2308.069,2171.21,2164.325,86597259.0,-146.184
1712,20130625,2146.053,2169.211,2165.421,2023.171,107554882.0,-5.789
1711,20130626,2170.326,2181.021,2168.297,2131.86,79256426.0,2.876
1710,20130627,2172.848,2200.213,2160.735,2153.175,75406753.0,-7.562
1709,20130628,2149.03,2227.461,2200.639,2139.372,79451327.0,39.904
1708,20130701,2187.092,2213.965,2213.317,2166.353,57726227.0,12.678
1707,20130702,2211.803,2226.113,2221.984,2191.801,61838850.0,8.667
1706,20130703,2211.044,2211.044,2203.828,2169.137,65836022.0,-18.156
1705,20130704,2187.181,2245.908,2221.979,2176.08,72581145.0,18.151
1704,20130705,2227.35,2252.033,2226.849,2225.047,61821775.0,4.87
1703,20130708,2194.423,2205.214,2163.619,2162.189,54782493.0,-63.23
1702,20130709,2160.699,2174.786,2162.669,2149.787,41494433.0,-0.95
1701,20130710,2163.098,2224.135,2224.065,2157.468,61149781.0,61.396
1700,20130711,2232.157,2351.223,2326.688,2232.157,125793192.0,102.623
1699,20130712,2319.023,2331.986,2275.373,2274.073,89733082.0,-51.315
1698,20130715,2289.762,2336.04,2307.297,2274.673,74757884.0,31.924
1697,20130716,2300.83,2317.848,2317.848,2281.942,65624157.0,10.551
1696,20130717,2311.443,2326.925,2282.836,2281.609,67655248.0,-35.012
1695,20130718,2272.947,2282.435,2245.328,2241.93,57144292.0,-37.508
1694,20130719,2248.133,2257.916,2190.478,2188.752,70535282.0,-54.85
1693,20130722,2170.089,2203.058,2202.189,2159.813,53283495.0,11.711
1692,20130723,2211.587,2276.742,2265.845,2206.756,74809731.0,63.656
1691,20130724,2253.376,2265.578,2249.151,2217.192,69592307.0,-16.694
1690,20130725,2255.223,2268.839,2237.683,2227.853,65774316.0,-11.468
1689,20130726,2226.429,2238.42,2224.008,2209.806,48941098.0,-13.675
1688,20130729,2205.083,2205.083,2175.97,2169.017,54600925.0,-48.038
1687,20130730,2184.007,2221.589,2189.388,2162.979,55193623.0,13.418
1686,20130731,2211.75,2235.384,2193.021,2187.21,48327055.0,3.633
1685,20130801,2206.004,2245.56,2245.364,2200.626,62603997.0,52.343
1684,20130802,2263.495,2274.71,2247.263,2244.252,60890893.0,1.899
1683,20130805,2249.976,2278.329,2278.329,2243.22,55342151.0,31.066
1682,20130806,2270.672,2302.484,2293.641,2256.715,73746895.0,15.312
1681,20130807,2292.379,2313.879,2280.623,2276.862,73048695.0,-13.018
1680,20130808,2277.253,2297.628,2276.782,2267.073,53098430.0,-3.841
1679,20130809,2288.51,2301.59,2286.01,2258.334,64600017.0,9.228
1678,20130812,2296.22,2352.89,2352.794,2293.176,97863216.0,66.784
1677,20130813,2352.883,2360.827,2359.068,2340.733,78393636.0,6.274
1676,20130814,2362.619,2386.599,2349.08,2340.833,75942128.0,-9.988
1675,20130815,2348.839,2362.089,2321.576,2319.784,61951853.0,-27.504
1674,20130816,2314.261,2423.081,2304.144,2295.023,120369563.0,-17.432
1673,20130819,2286.203,2340.194,2331.43,2284.077,72483224.0,27.286
1672,20130820,2325.862,2353.409,2312.465,2303.666,73086345.0,-18.965
1671,20130821,2320.584,2321.642,2308.589,2291.053,55007384.0,-3.876
1670,20130822,2302.668,2329.143,2303.932,2297.016,55338104.0,-4.657
1669,20130823,2314.866,2321.037,2286.929,2251.92,68967133.0,-17.003
1668,20130826,2294.759,2336.381,2335.616,2288.496,70371043.0,48.687
1667,20130827,2332.8,2345.105,2340.881,2322.461,65990333.0,5.265
1666,20130828,2326.096,2345.358,2328.056,2307.043,89256174.0,-12.825
1665,20130829,2338.564,2342.32,2318.311,2308.145,66085415.0,-9.745
1664,20130830,2315.913,2334.413,2313.91,2303.609,87654515.0,-4.401
1663,20130902,2319.957,2329.867,2320.344,2297.449,79510249.0,6.434
1662,20130903,2326.231,2354.856,2354.502,2321.304,80554005.0,34.158
1661,20130904,2352.537,2360.663,2350.699,2345.437,78725763.0,-3.803
1660,20130905,2350.927,2351.218,2341.735,2336.754,62951383.0,-8.964
1659,20130906,2336.767,2361.178,2357.782,2335.932,73340116.0,16.047
1658,20130909,2374.26,2449.249,2440.609,2372.686,149889640.0,82.827
1657,20130910,2446.454,2475.195,2474.894,2435.826,154855992.0,34.285
1656,20130911,2483.791,2504.469,2482.889,2471.624,166914974.0,7.995
1655,20130912,2480.468,2527.383,2507.455,2469.718,145173175.0,24.566
1654,20130913,2502.54,2515.781,2488.902,2481.454,110775049.0,-18.553
1653,20130916,2501.077,2503.694,2478.39,2467.129,105383282.0,-10.512
1652,20130917,2480.81,2481.71,2427.322,2426.462,99459982.0,-51.068
1651,20130918,2426.04,2439.626,2432.51,2407.243,71040759.0,5.188
1650,20130923,2441.516,2473.163,2472.288,2439.993,80128352.0,39.778
1649,20130924,2470.715,2470.746,2443.885,2420.085,97853013.0,-28.403
1648,20130925,2440.835,2455.037,2429.03,2423.276,90518418.0,-14.855
